48 US states;23;30;45;35;35;35;40;60;60;80;80;80;70;75;80
Canada & Alaska;30;35;50;40;40;40;45;65;65;85;85;85;75;75;85
Hawaii;45;50;15;50;50;50;60;80;80;85;85;100;65;70;75
Caribbean;35;40;50;15;40;40;45;65;65;90;90;90;75;75;90
Mexico;35;40;50;40;0;40;45;65;65;90;90;90;75;75;90
Central America;35;40;50;40;40;0;45;65;65;90;90;90;100;100;90
South America 1;40;45;60;45;45;45;20;25;80;120;120;120;100;100;90
South America 2;60;65;80;65;65;80;100;20;100;120;120;140;100;100;90
Europe;60;65;80;65;65;65;25;20;25;40;40;60;70;70;120
Middle East;80;85;95;90;90;90;120;120;40;35;35;60;45;50;85
Indian Subcontinent;60;100;100;100;100;30;60;30;40;40;80
Africa;80;85;100;90;90;90;120;140;60;60;60;20;90;80;85
Asia 1;70;75;65;75;75;200;200;200;70;45;45;90;25;40;60
Asia 2;75;75;70;75;75;200;200;200;70;50;50;80;40;35;60
South Pacific;80;85;75;90;90;90;90;90;120;85;85;85;60;60;30